n_jobs,n_machines,model_building_time,model_solving_time
14,5,0.016999483108520508,118.60204601287842
14,6,0.019998550415039062,45.441261768341064
14,7,0.022997617721557617,357.43662309646606
14,8,0.02599954605102539,311.4463047981262
15,1,0.007000446319580078,6.819998025894165
15,2,0.009000539779663086,29933.37965321541
15,3,0.011996269226074219,133.03182816505432
15,4,0.014999151229858398,55.491928577423096
15,5,0.017999649047851562,682.2381129264832
15,6,0.021999359130859375,113.94285273551941
15,7,0.026000261306762695,2222.3491258621216
15,8,0.029999732971191406,556.5688321590424
16,1,0.005999326705932617,44.26198744773865
16,2,0.00899958610534668,8093.733629465103
16,3,0.01399683952331543,483.440922498703
16,4,0.04103684425354004,287.56093668937683
16,5,0.020999670028686523,747.7329249382019
16,6,0.024016141891479492,151.76195430755615
16,7,0.027999401092529297,2412.6378648281097
16,8,0.03203225135803223,1083.972083568573
17,8,0.04199957847595215,5184.92390871048
